,Title,Video ID,Published At,Keyword,Likes,Comments,Views,pop
0,Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ,wAZZ-UWGVHI,2022-08-23,tech,0.0002072291978642988,0.0009183713850214037,3.361003750802052e-05,0.0006468016278801524
1,The most EXPENSIVE thing I own.,b3x28s61q3c,2022-08-24,tech,0.00466873762089814,0.005877303945449014,0.00043579194996957955,0.00536279560350843
2,My New House Gaming Setup is SICK!,4mgePWWCAmA,2022-08-23,tech,0.0038810477649315537,0.004556377495670828,0.0003876883011045967,0.004285829127986559
3,Petrol Vs Liquid Nitrogen | Freezing Experiment | പെട്രോളിനെ ഐസ് ആകാൻ പറ്റുമോ | M4 Tech |,kXiYSI7H2b0,2022-08-23,tech,0.004351752348460761,0.0019472748386709408,0.00022877169895262512,0.002702662306693418
4,Best Back to School Tech 2022!,ErMwWXQxHp0,2022-08-08,tech,0.005868696831770814,0.0070358437758846325,0.0004599808550273664,0.00644209617008939
5,Brewmaster Answers Beer Questions From Twitter | Tech Support | WIRED,18fwz9Itbvo,2021-11-05,tech,0.0020413413736802746,0.0022433916151191496,0.00023377923188498237,0.002192216613060555
6,Tech Monopolies: Last Week Tonight with John Oliver (HBO),jXf04bhcjbg,2022-06-13,tech,0.008211821805509924,0.012783511344547563,0.0014718852424186056,0.01160553859080012
7,I bought the STRANGEST TECH on the Internet.,2TqOmtTAMRY,2022-08-07,tech,0.013191159996446456,0.017202064902793187,0.001185509190937889,0.015464096131547738
8,15 Emerging Technologies that Will Change the World,wLlL46pYcg4,2021-12-08,tech,0.0027707176144027698,0.003934122887097633,0.0017354979777675283,0.004927186994346939
9,Toxicologist Answers More Poison Questions From Twitter | Tech Support | WIRED,R7qsau3X6Ks,2022-07-14,tech,0.0014747446407872178,0.0014587503872033887,0.0001655234916745753,0.0014831971162327737
10,Dope Tech: The Most Extreme Gaming Monitor!,MEiq0oCUb_8,2022-08-15,tech,0.0071753109760513455,0.005627583345955823,0.0005847906573329954,0.0061139339577218925
11,Cool Tech Under $50 - August!,pT_9hntWj34,2022-08-06,tech,0.0012769404797976158,0.004219322916027014,0.00010241484387580453,0.003017090737431298
12,Cool Back to School Tech 2022 🔥 (Under $100),cj4lxmHQV0o,2022-08-13,tech,0.0009317409034256604,0.0007477972050397166,9.644948176416762e-05,0.0008246500758156956
13,Best Tech/EDC Gifts Under $50 for Father&#39;s Day! - Gift Guide 2022,d-BdIo8_wpA,2021-12-15,tech,0.0010864331215497142,0.00021560576349685258,0.00011029115452343184,0.0005655845490864577
14,My Massive Tech Unboxing 47.0!,eFhhW6fsAbQ,2022-07-09,tech,0.0008037428219983279,0.0006045148938550993,9.209884513747577e-05,0.0006959306280500336
15,Why Millennials Are Leaving Six-Figure Tech Jobs,N88OE2ZCHBM,2021-06-04,tech,0.001635152687725604,0.006822967199267487,0.0004048052836324484,0.0049891314095106215
16,10 Coolest Gadgets and Inventions That Will Blow Your Mind,PKATJiyz0iI,2021-08-13,tech,0.0005814943718240286,0.00027291868797069943,0.00018844842908610258,0.0005266479534157308
17,17 Coolest Gadgets You Can Actually Buy,qiMnSaZWf3M,2022-07-21,tech,0.0007141137616544381,0.00019650145533890362,0.00026933814439494304,0.0006014731460946166
18,Almost EVERYONE is Wasting Money on Dash Cams.,4AnyhHl3_tE,2022-08-14,tech,0.008937306418103513,0.015155174743012942,0.0007899773000582492,0.01256427407129707
19,I bought the THINNEST Tech in the world.,nmY2kgWYwyQ,2022-03-25,tech,0.02211977105794944,0.018572116716406097,0.0028315698690901787,0.020610771216318668
20,iPhone 14 Lineup is NOT what you Expected.. (plot twist),HMqyLcNmsec,2022-08-24,tech,0.00012878856839101667,0.0006645570052086531,1.577170847092867e-05,0.00045314248211342554
21,Doctor Answers Gut Questions From Twitter | Tech Support | WIRED,Q2ysbTVlPdk,2022-05-12,tech,0.0026050801921661646,0.0018531178913210493,0.00031738304442051357,0.0022107778368629927
22,Cool Tech Under $50 - July!,zI8KQq5zmyM,2022-07-02,tech,0.0014405104745907388,0.003879539149503493,0.00013159343411726644,0.002891470066196584
23,Wolfgang Puck Answers Restaurant Questions From Twitter | Tech Support | WIRED,iEAlq1GPgnc,2021-06-18,tech,0.003358475075246758,0.0029693553251212102,0.00052611395257158,0.0033152696702183336
24,Battle Of The Tech - Super Bike Vs World Superbike,IHnhSxizVOA,2022-07-31,tech,7.844062947328212e-05,0.00025108519293304347,8.904787165440796e-06,0.00018308809176725152
25,OnePlus 10R vs 10T | Unboxing &amp; Comparison,Ql1-RZ2FUrc,2022-08-24,tech,5.904329551826119e-05,0.00028383543548952744,5.738546972133575e-06,0.0001937527969213284
